participant,date,direction test,start landmark,facing landmark,target landmark,bearing,actual direction,abs error,same or different route,error in pointing task
10,2011-06-20 22:01:59 UTC,0,Harvey House,Harris Hall,Lynch Station,88,32.28246429,55.71753571,same,TRUE
10,2011-06-20 22:01:59 UTC,0,Harvey House,Harris Hall,Batty House,47,46.54689912,0.453100878,same,TRUE
10,2011-06-20 22:01:59 UTC,0,Harvey House,Harris Hall,Harris Hall,87,4.196894849,82.80310515,same,TRUE
10,2011-06-20 22:01:59 UTC,0,Harvey House,Harris Hall,Snow Church,12,66.19140238,54.19140238,different,TRUE
10,2011-06-20 22:01:59 UTC,0,Golledge Hall,Snow Church,Harvey House,32,139.9309368,107.9309368,different,TRUE
10,2011-06-20 22:01:59 UTC,0,Golledge Hall,Snow Church,Harris Hall,28,176.2022806,148.2022806,different,TRUE
10,2011-06-20 22:01:59 UTC,0,Golledge Hall,Snow Church,Snow Church,1,1.204134401,0.204134401,same,TRUE
10,2011-06-20 22:01:59 UTC,0,Golledge Hall,Snow Church,Sauer Center,53,76.21088344,23.21088344,same,TRUE
10,2011-06-20 22:01:59 UTC,0,Golledge Hall,Snow Church,Batty House,145,173.5694617,28.56946175,different,TRUE
10,2011-06-20 22:01:59 UTC,0,Golledge Hall,Snow Church,Tobler Museum,93,147.0284471,54.02844706,same,TRUE
10,2011-06-20 22:01:59 UTC,0,Golledge Hall,Snow Church,Lynch Station,158,173.9683139,15.96831391,different,TRUE
10,2011-06-20 22:01:59 UTC,0,Snow Church,Sauer Center,Tobler Museum,0,63.69277617,63.69277617,same,TRUE
10,2011-06-20 22:01:59 UTC,0,Snow Church,Sauer Center,Lynch Station,177,79.44851915,97.55148085,different,TRUE
10,2011-06-20 22:01:59 UTC,0,Snow Church,Sauer Center,Harvey House,142,119.6929579,22.30704214,different,TRUE
10,2011-06-20 22:01:59 UTC,0,Snow Church,Sauer Center,Batty House,90,90.64700942,0.647009417,different,TRUE
10,2011-06-20 22:01:59 UTC,0,Snow Church,Sauer Center,Sauer Center,90,0.279262352,89.72073765,same,TRUE
10,2011-06-20 22:01:59 UTC,0,Snow Church,Sauer Center,Golledge Hall,115,125.8431145,10.84311455,same,TRUE
10,2011-06-20 22:01:59 UTC,0,Snow Church,Sauer Center,Harris Hall,2,88.09346154,86.09346154,different,TRUE
10,2011-06-20 22:01:59 UTC,0,Sauer Center,Tobler Museum,Harris Hall,58,4.240040564,53.75995944,different,TRUE
10,2011-06-20 22:01:59 UTC,0,Sauer Center,Tobler Museum,Harvey House,78,23.09134403,54.90865597,different,TRUE
10,2011-06-20 22:01:59 UTC,0,Sauer Center,Tobler Museum,Tobler Museum,15,2.713388186,12.28661181,same,TRUE
10,2011-06-20 22:01:59 UTC,0,Sauer Center,Tobler Museum,Lynch Station,79,17.76205492,61.23794508,different,TRUE
10,2011-06-20 22:01:59 UTC,0,Sauer Center,Tobler Museum,Golledge Hall,79,51.85616181,27.14383819,same,TRUE
10,2011-06-20 22:01:59 UTC,0,Sauer Center,Tobler Museum,Snow Church,85,89.63525726,4.635257259,same,TRUE
10,2011-06-20 22:01:59 UTC,0,Sauer Center,Tobler Museum,Batty House,73,6.744508622,66.25549138,different,TRUE
